noise_scale,ghz_fidelity,success_rate,security_met
0.1,0.985986328125,0.989453125,True
0.45000000000000007,0.9378662109375,0.9533203125,True
0.8,0.8908447265625,0.919140625,True
1.1500000000000001,0.839697265625,0.88017578125,True
1.5000000000000002,0.79013671875,0.8462646484375,True
1.8500000000000003,0.73837890625,0.8082763671875,True
2.2,0.701220703125,0.77900390625,True
2.5500000000000003,0.651171875,0.7457275390625,True
2.9000000000000004,0.60908203125,0.7155029296875,True
3.2500000000000004,0.572021484375,0.689404296875,True
3.6000000000000005,0.539599609375,0.66484375,False
3.9500000000000006,0.50244140625,0.63671875,False
4.3,0.4673828125,0.6170166015625,False
4.65,0.4352294921875,0.5928466796875,False
5.0,0.41416015625,0.5802734375,False
